                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.4526,                 0.7544,                 1.3603,                 1.5101,                0.83343,                 1.3634,                0.74563,                0.47375,                0.53865,                0.27129,                 2.0543,                 1.8629,                 2.0073,                 1.9652,                 2.1912,                 1.9296,               0.002674,               0.002674,               0.002674
                     77,                 1.4432,                0.75036,                 1.3563,                 1.4989,                0.83419,                 1.3593,                0.74737,                0.47252,                0.53882,                0.27111,                 2.0543,                  1.861,                 2.0076,                 1.9657,                 2.1888,                 1.9297,               0.002575,               0.002575,               0.002575
                     78,                 1.4409,                0.74415,                 1.3541,                 1.4964,                0.81981,                 1.3561,                0.74901,                0.47348,                0.53966,                0.27162,                 2.0517,                 1.8576,                 2.0055,                 1.9623,                 2.1863,                 1.9271,               0.002476,               0.002476,               0.002476
                     79,                 1.4382,                0.74101,                 1.3505,                 1.4962,                 0.8187,                 1.3543,                0.74865,                0.47341,                0.53992,                 0.2719,                 2.0521,                 1.8553,                 2.0058,                 1.9624,                 2.1829,                 1.9273,               0.002377,               0.002377,               0.002377
                     80,                 1.4397,                0.74685,                 1.3547,                    1.5,                0.82226,                 1.3592,                0.74955,                0.47492,                0.54125,                0.27261,                 2.0514,                 1.8503,                 2.0055,                  1.963,                 2.1755,                 1.9271,               0.002278,               0.002278,               0.002278
                     81,                 1.4343,                0.73878,                  1.352,                 1.4908,                0.81432,                 1.3564,                0.75264,                0.47519,                0.54237,                 0.2732,                 2.0503,                  1.847,                 2.0047,                 1.9616,                 2.1731,                 1.9262,               0.002179,               0.002179,               0.002179
                     82,                 1.4378,                0.74159,                 1.3525,                 1.4902,                0.82228,                 1.3539,                0.75398,                0.47413,                0.54198,                0.27293,                 2.0533,                 1.8482,                 2.0072,                 1.9644,                 2.1755,                 1.9281,                0.00208,                0.00208,                0.00208
                     83,                 1.4292,                0.73194,                 1.3452,                 1.4851,                0.80331,                 1.3484,                0.75246,                0.47404,                0.54118,                0.27235,                 2.0561,                 1.8503,                   2.01,                 1.9664,                 2.1792,                 1.9299,               0.001981,               0.001981,               0.001981
                     84,                 1.4274,                 0.7331,                 1.3446,                 1.4828,                 0.8091,                 1.3461,                0.75646,                0.47349,                0.54156,                0.27248,                 2.0581,                  1.851,                 2.0119,                 1.9685,                 2.1798,                 1.9315,               0.001882,               0.001882,               0.001882
                     85,                 1.4287,                0.73216,                 1.3481,                 1.4792,                0.81494,                   1.35,                0.75002,                0.47538,                0.54074,                0.27201,                 2.0591,                 1.8522,                 2.0131,                 1.9686,                  2.182,                 1.9319,               0.001783,               0.001783,               0.001783
